specification,estimate,low,high
Heat-dry index,-254.60206129970197,-392.99408574227056,-116.21003685713332
Heat days,-250.21880167562955,-400.40677145572056,-100.03083189553853
Dry days,-301.37354608683324,-586.1878293250755,-16.559262848590947
