observation_id,year,plot_numeric_id,treatment,replicate,crop_raw,crop_group,harvest_date,preharvest_step_max,yield_kg_ha,whole_plot_yield_kg_ha,feature_scope,landsat_available_steps,landsat_max_step,landsat_blue_mean,landsat_blue_max,landsat_blue_last,landsat_green_mean,landsat_green_max,landsat_green_last,landsat_red_mean,landsat_red_max,landsat_red_last,landsat_nir08_mean,landsat_nir08_max,landsat_nir08_last,landsat_swir16_mean,landsat_swir16_max,landsat_swir16_last,landsat_swir22_mean,landsat_swir22_max,landsat_swir22_last,landsat_ndvi_mean,landsat_ndvi_max,landsat_ndvi_last,landsat_ndwi_mean,landsat_ndwi_max,landsat_ndwi_last,landsat_nbr_mean,landsat_nbr_max,landsat_nbr_last,landsat_clear_fraction_mean,landsat_clear_fraction_max,landsat_clear_fraction_last,landsat_obs_count_mean,landsat_obs_count_max,landsat_obs_count_last,landsat_valid_fraction_mean,landsat_valid_fraction_max,landsat_valid_fraction_last,landsat_time_gap_days_mean,landsat_time_gap_days_max,landsat_time_gap_days_last,landsat_pixels_used_mean,landsat_pixels_used_max,landsat_pixels_used_last,landsat_ndvi_slope,sentinel2_available_steps,sentinel2_max_step,sentinel2_blue_mean,sentinel2_blue_max,sentinel2_blue_last,sentinel2_green_mean,sentinel2_green_max,sentinel2_green_last,sentinel2_red_mean,sentinel2_red_max,sentinel2_red_last,sentinel2_nir08_mean,sentinel2_nir08_max,sentinel2_nir08_last,sentinel2_swir16_mean,sentinel2_swir16_max,sentinel2_swir16_last,sentinel2_swir22_mean,sentinel2_swir22_max,sentinel2_swir22_last,sentinel2_ndvi_mean,sentinel2_ndvi_max,sentinel2_ndvi_last,sentinel2_ndwi_mean,sentinel2_ndwi_max,sentinel2_ndwi_last,sentinel2_nbr_mean,sentinel2_nbr_max,sentinel2_nbr_last,sentinel2_clear_fraction_mean,sentinel2_clear_fraction_max,sentinel2_clear_fraction_last,sentinel2_obs_count_mean,sentinel2_obs_count_max,sentinel2_obs_count_last,sentinel2_valid_fraction_mean,sentinel2_valid_fraction_max,sentinel2_valid_fraction_last,sentinel2_time_gap_days_mean,sentinel2_time_gap_days_max,sentinel2_time_gap_days_last,sentinel2_pixels_used_mean,sentinel2_pixels_used_max,sentinel2_pixels_used_last,sentinel2_ndvi_slope
mcse_rs_yield_000011,2025,54,T1,R3,Triticum aestivum L.,wheat,2025-07-15,12,7190.3,7190.3,landsat+sentinel2,8.0,12.0,0.0428422,0.0486229,0.0269163,0.0767669,0.08402,0.0621346,0.079223,0.1016017,0.0410604,0.2959591,0.4005794,0.4005794,0.2163357,0.2501727,0.1737754,0.1342608,0.1535973,0.0850467,0.5452427,0.8131785,0.8131785,0.1343988,0.3973459,0.3973459,0.3495623,0.6500803,0.6500803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.75,35.0,12.0,12.0,12.0,12.0,0.0650066,4.0,12.0,0.0536697,0.0723565,0.035287,0.0810884,0.098913,0.0576435,0.0705498,0.0995739,0.0393522,0.3899282,0.4703,0.3934,0.2425083,0.2897869,0.1749522,0.15205,0.1940218,0.0992739,0.6928877,0.8195356,0.8195356,0.2356377,0.3876558,0.3876558,0.4414747,0.5998204,0.5998204,1.0,1.0,1.0,1.0,1.0,1.0,0.8913043,1.0,1.0,3.5,7.0,3.0,20.5,23.0,23.0,0.0851484
mcse_rs_yield_000012,2025,41,T1,R1,Triticum aestivum L.,wheat,2025-07-15,12,6655.0,6655.0,landsat+sentinel2,8.0,12.0,0.0434583,0.0539564,0.0286656,0.0789844,0.0914633,0.063172,0.0806917,0.1072819,0.0473747,0.3113327,0.3973153,0.3973153,0.2233487,0.2499855,0.1742047,0.1377985,0.1675772,0.0887592,0.5684298,0.7865306,0.7865306,0.151582,0.3909501,0.3909501,0.369743,0.634868,0.634868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.75,35.0,12.0,9.0,9.0,9.0,0.0560567,5.0,12.0,0.0702461,0.1357,0.1357,0.0910626,0.1306,0.1306,0.0808348,0.1223,0.1223,0.3430678,0.4527565,0.2407,0.2237017,0.2705391,0.1894,0.139727,0.1817348,0.1169,0.6051244,0.8107343,0.3261708,0.2040346,0.3717744,0.1192746,0.4142252,0.5772439,0.3461969,1.0,1.0,1.0,1.0,1.0,1.0,0.8086957,1.0,0.0434783,3.6,7.0,4.0,18.6,23.0,1.0,-0.0555625
mcse_rs_yield_000013,2025,29,T1,R2,Triticum aestivum L.,wheat,2025-07-15,12,7496.5,7496.5,landsat+sentinel2,8.0,12.0,0.0466666,0.0565872,0.0279017,0.0865179,0.0995208,0.061085,0.0921569,0.1185539,0.0485144,0.3204642,0.386135,0.3659836,0.227311,0.2466061,0.1735753,0.1447851,0.1658967,0.0951606,0.5444413,0.7658194,0.7658194,0.1653328,0.3580781,0.3580781,0.3719063,0.588165,0.588165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.75,35.0,12.0,9.0,9.0,9.0,0.0549106,4.0,12.0,0.06605,0.0946542,0.0438542,0.0947313,0.1273625,0.0693,0.0909687,0.11905,0.0566875,0.3757948,0.4592,0.3916416,0.2515271,0.3003708,0.1951958,0.163699,0.1982792,0.1227833,0.6137792,0.7569515,0.7569515,0.199303,0.3407112,0.3407112,0.3947372,0.5298306,0.5298306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5,7.0,3.0,24.0,24.0,24.0,0.0792822
mcse_rs_yield_000014,2025,22,T3,R6,Triticum aestivum L.,wheat,2025-07-15,12,5087.3,4832.935,landsat+sentinel2,8.0,12.0,0.0435996,0.0539136,0.0294906,0.0785941,0.0916956,0.0625669,0.0823158,0.1100258,0.0486764,0.2947869,0.3489764,0.3439317,0.2162622,0.2398808,0.1785008,0.1340677,0.162395,0.0925786,0.5490599,0.7517295,0.7517295,0.1431501,0.316801,0.316801,0.3623689,0.5756924,0.5756924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.75,35.0,12.0,9.0,9.0,9.0,0.0537356,4.0,12.0,0.0556307,0.07242,0.04147,0.0839293,0.097205,0.071865,0.0746945,0.104255,0.05014,0.3746928,0.4568765,0.405585,0.2246968,0.274565,0.17184,0.1355321,0.18467,0.09415,0.6568585,0.7785388,0.7785388,0.2431885,0.4038296,0.4038296,0.4600237,0.6219354,0.6219354,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,1.0,1.0,3.5,7.0,3.0,19.25,20.0,20.0,0.0923531
mcse_rs_yield_000015,2025,2,T3,R5,Triticum aestivum L.,wheat,2025-07-15,12,5160.7,4902.665,landsat+sentinel2,8.0,12.0,0.0459837,0.0600644,0.0277061,0.0835548,0.1005261,0.0604372,0.0878371,0.120763,0.0466994,0.319792,0.3858356,0.3591575,0.2285676,0.2623972,0.1696092,0.1432764,0.1775811,0.0919033,0.5604193,0.7695706,0.7695706,0.1624673,0.358788,0.358788,0.3753772,0.5925095,0.5925095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.75,35.0,12.0,9.0,9.0,9.0,0.0561284,5.0,12.0,0.0636,0.080655,0.067245,0.090807,0.10606,0.08885,0.092448,0.119755,0.11009,0.347626,0.475155,0.24964,0.249947,0.291835,0.234045,0.160916,0.20547,0.14099,0.5605228,0.7770423,0.3805953,0.1509087,0.3528099,0.0254272,0.3547278,0.5546037,0.2705432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6,7.0,4.0,20.0,20.0,20.0,-0.0145638
mcse_rs_yield_000016,2025,48,T3,R4,Triticum aestivum L.,wheat,2025-07-15,12,5280.9,5016.855,landsat+sentinel2,8.0,12.0,0.046048,0.0575127,0.0292702,0.084669,0.098507,0.0645335,0.090125,0.1189203,0.0523675,0.3151073,0.387169,0.3548428,0.2306101,0.256456,0.1795935,0.1468087,0.1753173,0.0999755,0.5443362,0.742815,0.742815,0.148417,0.3281835,0.3281835,0.3563899,0.5606173,0.5606173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.75,35.0,12.0,10.0,10.0,10.0,0.0531939,5.0,12.0,0.0680067,0.0924333,0.0924333,0.0912367,0.104644,0.0932833,0.0877532,0.11712,0.08865,0.3363575,0.470644,0.2044833,0.233228,0.29012,0.1746,0.1514131,0.203028,0.1174333,0.5640502,0.7639313,0.3971596,0.1672619,0.3604628,0.0766899,0.363395,0.5618637,0.268602,1.0,1.0,1.0,1.0,1.0,1.0,0.848,1.0,0.24,3.6,7.0,4.0,21.2,25.0,6.0,-0.0127487
mcse_rs_yield_000017,2025,32,T3,R3,Triticum aestivum L.,wheat,2025-07-15,12,5275.8,5012.01,landsat+sentinel2,8.0,12.0,0.0444147,0.0575956,0.0264961,0.0839039,0.0995667,0.0623439,0.0880296,0.1186272,0.0501094,0.3165921,0.3993198,0.3478581,0.2215292,0.2491972,0.1695297,0.137053,0.1674825,0.0904825,0.5534341,0.7477571,0.7477571,0.1696697,0.3445336,0.3445336,0.3869207,0.5868207,0.5868207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.75,35.0,12.0,9.0,9.0,9.0,0.0536274,4.0,12.0,0.059634,0.0781,0.041116,0.090253,0.107132,0.070108,0.083401,0.114868,0.051828,0.385258,0.490416,0.409136,0.250453,0.294996,0.191176,0.157471,0.203552,0.109692,0.6354431,0.7761486,0.7761486,0.2068447,0.3641139,0.3641139,0.4129934,0.5779534,0.5779534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5,7.0,3.0,25.0,25.0,25.0,0.0993988
mcse_rs_yield_000018,2025,16,T3,R2,Triticum aestivum L.,wheat,2025-07-15,12,5397.3,5127.435,landsat+sentinel2,8.0,12.0,0.0446566,0.0557477,0.0283119,0.0800325,0.0899692,0.0669585,0.082311,0.1082269,0.0473854,0.296776,0.3828946,0.3828946,0.228104,0.2459744,0.1849015,0.1477759,0.176349,0.0959321,0.5393357,0.7775397,0.7775397,0.1124407,0.3468543,0.3468543,0.3136117,0.5967563,0.5967563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.75,35.0,12.0,12.0,12.0,12.0,0.0614682,5.0,12.0,0.0739683,0.1491667,0.1491667,0.0941337,0.1381833,0.1381833,0.0837157,0.1199833,0.1199833,0.3396963,0.4603149,0.2547167,0.22547,0.27633,0.1839,0.1425287,0.19444,0.1117833,0.5870128,0.786833,0.3604765,0.1917137,0.3737734,0.1587271,0.3979215,0.5838302,0.3876805,1.0,1.0,1.0,1.0,1.0,1.0,0.86,1.0,0.3,3.6,7.0,4.0,17.2,20.0,6.0,-0.0304591
mcse_rs_yield_000019,2025,39,T2,R1,Triticum aestivum L.,wheat,2025-07-14,12,7050.2,7050.2,landsat+sentinel2,8.0,12.0,0.0439216,0.0513821,0.0291025,0.0809893,0.0898546,0.0631337,0.0864526,0.1075554,0.05179,0.3041804,0.3764092,0.3692317,0.2150312,0.2500008,0.1761862,0.1338305,0.1507121,0.0968808,0.5382824,0.7546501,0.7546501,0.1601971,0.3563474,0.3563474,0.3743454,0.5854985,0.5854985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.75,35.0,12.0,6.0,6.0,6.0,0.0546495,4.0,12.0,0.0561737,0.07782,0.04062,0.0814362,0.105255,0.062565,0.076715,0.108265,0.051835,0.352685,0.37496,0.37496,0.2463462,0.318725,0.18727,0.1552862,0.215395,0.114205,0.647376,0.7648572,0.7648572,0.1874314,0.3396612,0.3396612,0.3995745,0.5389144,0.5389144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5,7.0,3.0,20.0,20.0,20.0,0.0762637
mcse_rs_yield_000020,2025,21,T2,R6,Triticum aestivum L.,wheat,2025-07-14,12,6885.0,6885.0,landsat+sentinel2,8.0,12.0,0.0541422,0.0655164,0.0334554,0.0910315,0.1064561,0.0644321,0.1006104,0.1305814,0.0520846,0.3274726,0.3785961,0.37365,0.2590536,0.2883686,0.1827489,0.1607597,0.1916628,0.0958843,0.5261121,0.7549967,0.7549967,0.1182084,0.3445226,0.3445226,0.3411047,0.5918345,0.5918345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.75,35.0,12.0,7.0,7.0,7.0,0.0560075,4.0,12.0,0.0739781,0.1022588,0.0507536,0.1000274,0.1295059,0.0745857,0.1040501,0.1243647,0.0740286,0.3672684,0.4212058,0.3809,0.2865875,0.3373,0.2239429,0.1890426,0.2343107,0.1428357,0.5710019,0.7065037,0.7065037,0.1288427,0.2739475,0.2739475,0.3248709,0.4695679,0.4695679,1.0,1.0,1.0,1.0,1.0,1.0,0.9017857,1.0,1.0,3.5,7.0,3.0,25.25,28.0,28.0,0.0775571
