stress_definition,estimate,low,high,p_cluster
Heat-dry,444.3206116638814,264.8020550834261,623.8391682443366,1.22813364801945e-06
Heat days,553.4715671893857,373.3574019160119,733.5857324627596,1.7146791429284324e-09
Dry days,349.81468222588524,-120.27658555041421,819.9059500021847,0.14470508110899113
