date,plot,location,treatment,replicate,irrigated,fertilizer_rate_kg_ha,crop,yield_kg_ha,year,crop_group,scheduled_n_rate_kg_ha,rate_recovered,n_rate_kg_ha,heat_days_30c_gs,dry_days_lt1mm_gs,n100,irrigated_binary,time_c,heat_days_30c_gs_z,dry_days_lt1mm_gs_z,heat_dry_stress_z,status
2000-12-04,301,B,9,3,f,291.0,Zea mays L.,9191.0,2000,corn,291,False,291.0,4,157,2.91,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,302,B,3,3,f,67.0,Zea mays L.,8166.0,2000,corn,67,False,67.0,4,157,0.67,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,303,B,8,3,f,246.0,Zea mays L.,9952.0,2000,corn,246,False,246.0,4,157,2.46,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,304,B,2,3,f,34.0,Zea mays L.,8567.0,2000,corn,34,False,34.0,4,157,0.34,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,305,B,4,3,f,101.0,Zea mays L.,8410.0,2000,corn,101,False,101.0,4,157,1.01,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,306,B,5,3,f,134.0,Zea mays L.,8176.0,2000,corn,134,False,134.0,4,157,1.34,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,307,B,7,3,f,202.0,Zea mays L.,9153.0,2000,corn,202,False,202.0,4,157,2.02,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,308,B,6,3,f,168.0,Zea mays L.,8255.0,2000,corn,168,False,168.0,4,157,1.68,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,309,B,1,3,f,0.0,Zea mays L.,5168.0,2000,corn,0,False,0.0,4,157,0.0,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,401,B,5,4,f,134.0,Zea mays L.,7848.0,2000,corn,134,False,134.0,4,157,1.34,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,402,B,6,4,f,168.0,Zea mays L.,9371.0,2000,corn,168,False,168.0,4,157,1.68,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,403,B,4,4,f,101.0,Zea mays L.,9767.0,2000,corn,101,False,101.0,4,157,1.01,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,404,B,1,4,f,0.0,Zea mays L.,9029.0,2000,corn,0,False,0.0,4,157,0.0,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,405,B,8,4,f,246.0,Zea mays L.,7924.0,2000,corn,246,False,246.0,4,157,2.46,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,406,B,2,4,f,34.0,Zea mays L.,5478.0,2000,corn,34,False,34.0,4,157,0.34,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,407,B,3,4,f,67.0,Zea mays L.,6804.0,2000,corn,67,False,67.0,4,157,0.67,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2000-12-04,408,B,7,4,f,202.0,Zea mays L.,7248.0,2000,corn,202,False,202.0,4,157,2.02,0,-1.2782847718526682,-1.9679561046700578,0.6389988451966858,-0.9397146900807115,reported
2001-11-09,101,B,1,1,f,0.0,Zea mays L.,2727.0,2001,corn,0,False,0.0,24,144,0.0,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,102,B,2,1,f,34.0,Zea mays L.,4051.0,2001,corn,34,False,34.0,24,144,0.34,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,103,B,3,1,f,67.0,Zea mays L.,4942.0,2001,corn,67,False,67.0,24,144,0.67,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,104,B,4,1,f,101.0,Zea mays L.,5900.0,2001,corn,101,False,101.0,24,144,1.01,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,105,B,5,1,f,134.0,Zea mays L.,5876.0,2001,corn,134,False,134.0,24,144,1.34,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,106,B,6,1,f,168.0,Zea mays L.,10711.0,2001,corn,168,False,168.0,24,144,1.68,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,108,B,8,1,f,246.0,Zea mays L.,5251.0,2001,corn,246,False,246.0,24,144,2.46,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,109,B,9,1,f,291.0,Zea mays L.,5198.0,2001,corn,291,False,291.0,24,144,2.91,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,201,B,7,2,f,202.0,Zea mays L.,5594.0,2001,corn,202,False,202.0,24,144,2.02,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,202,B,2,2,f,34.0,Zea mays L.,3296.0,2001,corn,34,False,34.0,24,144,0.34,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,203,B,1,2,f,0.0,Zea mays L.,1808.0,2001,corn,0,False,0.0,24,144,0.0,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,204,B,5,2,f,134.0,Zea mays L.,4466.0,2001,corn,134,False,134.0,24,144,1.34,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,205,B,3,2,f,67.0,Zea mays L.,4834.0,2001,corn,67,False,67.0,24,144,0.67,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,206,B,9,2,f,291.0,Zea mays L.,6434.0,2001,corn,291,False,291.0,24,144,2.91,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,207,B,8,2,f,246.0,Zea mays L.,7396.0,2001,corn,246,False,246.0,24,144,2.46,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,208,B,4,2,f,101.0,Zea mays L.,6159.0,2001,corn,101,False,101.0,24,144,1.01,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
