draw,wild_t,wild_effect,observed_t,wild_two_sided_p
1,-2.2936352814767083,-209.01078416291367,-3.6057776634675798,0.03
2,0.3491758761660756,34.91454365052363,-3.6057776634675798,0.03
3,1.4028035679122932,107.9208865371981,-3.6057776634675798,0.03
4,1.4357616625731464,118.9799601030187,-3.6057776634675798,0.03
5,-1.0306615336648701,-93.14026302199017,-3.6057776634675798,0.03
6,0.39431526721333604,24.553360862482368,-3.6057776634675798,0.03
7,1.9352957507405346,212.0374100858889,-3.6057776634675798,0.03
8,-0.6183457282886974,-72.82114171414163,-3.6057776634675798,0.03
9,-0.018936850968287254,-1.8779549162797553,-3.6057776634675798,0.03
10,0.4205246161089459,53.98027540965084,-3.6057776634675798,0.03
11,-0.31974864396110153,-30.024440523458292,-3.6057776634675798,0.03
12,-2.4905546159745944,-235.5419328944579,-3.6057776634675798,0.03
13,3.3057967323894353,273.8144989376494,-3.6057776634675798,0.03
14,0.4249485252722359,39.357988827645286,-3.6057776634675798,0.03
15,3.436902612873162,232.96860767908976,-3.6057776634675798,0.03
16,2.6301966152303846,216.09702629604985,-3.6057776634675798,0.03
17,0.18883054567478838,35.18811744508517,-3.6057776634675798,0.03
18,-0.3647381274031127,-22.57962098435502,-3.6057776634675798,0.03
19,-1.7239046069766668,-115.97607838066759,-3.6057776634675798,0.03
20,0.20525600199950272,16.358403162932714,-3.6057776634675798,0.03
21,-0.04825015364075764,-3.5728509988902992,-3.6057776634675798,0.03
22,-0.6709861520354394,-56.74190309299186,-3.6057776634675798,0.03
23,2.8031207389858523,251.42348377407265,-3.6057776634675798,0.03
24,3.547829647940678,257.6833370893547,-3.6057776634675798,0.03
25,-2.253850532523586,-207.42017128901733,-3.6057776634675798,0.03
26,-2.3444861953721707,-180.66437561026126,-3.6057776634675798,0.03
27,1.276912530257852,179.69678498552489,-3.6057776634675798,0.03
28,-0.6512682016124726,-61.85936334717197,-3.6057776634675798,0.03
29,1.6202365936411396,110.58037368422943,-3.6057776634675798,0.03
30,1.5815260128725637,160.64983826816578,-3.6057776634675798,0.03
31,-2.6894552049522074,-277.6952641101578,-3.6057776634675798,0.03
32,2.05705729034719,200.9629008720369,-3.6057776634675798,0.03
33,-0.44155145389813716,-66.60586124519975,-3.6057776634675798,0.03
34,1.534532779178649,166.54359483081817,-3.6057776634675798,0.03
35,-2.001962728025094,-159.9100460632192,-3.6057776634675798,0.03
36,1.054119235381679,109.90011871871376,-3.6057776634675798,0.03
37,1.9184031244484283,224.81948669302494,-3.6057776634675798,0.03
38,0.13200895186657843,11.018411259677944,-3.6057776634675798,0.03
39,2.266953726109727,228.98765638460608,-3.6057776634675798,0.03
40,0.40989725562325174,37.540198852973816,-3.6057776634675798,0.03
41,0.07622420932582558,8.279590028104735,-3.6057776634675798,0.03
42,0.1882390906408566,27.9678361368965,-3.6057776634675798,0.03
43,-0.562577236281919,-87.38903451741959,-3.6057776634675798,0.03
44,0.43408121579195236,42.41147089717255,-3.6057776634675798,0.03
45,-2.698427790744614,-251.52021938072522,-3.6057776634675798,0.03
46,3.0719328142128024,239.35080793284396,-3.6057776634675798,0.03
47,0.31872739416368334,29.79403986733815,-3.6057776634675798,0.03
48,-1.6078756628439088,-142.3300786200248,-3.6057776634675798,0.03
49,0.15252810224698507,15.626416711256294,-3.6057776634675798,0.03
50,0.7306497284428743,71.33239931023985,-3.6057776634675798,0.03
51,-0.7665973795994404,-71.5641042441911,-3.6057776634675798,0.03
52,1.4870054788592884,109.71512035192441,-3.6057776634675798,0.03
53,3.4969223597914425,259.1432608285224,-3.6057776634675798,0.03
54,-1.2821242805662076,-111.9621680782824,-3.6057776634675798,0.03
55,-1.7990280603812816,-189.37885530431916,-3.6057776634675798,0.03
56,1.1787869426464095,115.90435689224243,-3.6057776634675798,0.03
57,-2.493761424500354,-176.69259403950673,-3.6057776634675798,0.03
58,0.764489673326489,80.46033163629157,-3.6057776634675798,0.03
59,1.0911214150077848,140.87542708833703,-3.6057776634675798,0.03
60,-1.1116045498068678,-101.24895105138543,-3.6057776634675798,0.03
61,-0.8608950863763611,-75.16840111216402,-3.6057776634675798,0.03
62,1.251917768447099,159.3221712516716,-3.6057776634675798,0.03
63,0.7751644581700236,70.64321411043844,-3.6057776634675798,0.03
64,-0.05653965368903935,-7.25027060510336,-3.6057776634675798,0.03
65,0.9912059090867942,100.35171182220145,-3.6057776634675798,0.03
66,0.05064918643586665,7.766389753489273,-3.6057776634675798,0.03
67,1.3128012804625233,165.65032728710742,-3.6057776634675798,0.03
68,4.000159623524952,268.28231520542084,-3.6057776634675798,0.03
69,-3.083267320676918,-245.95493018436636,-3.6057776634675798,0.03
70,-2.1629400936306022,-154.10362031984857,-3.6057776634675798,0.03
71,-1.1664637030567964,-103.26719016751944,-3.6057776634675798,0.03
72,3.3054143631328534,203.7379735489691,-3.6057776634675798,0.03
73,-1.0657337910555238,-100.58973493853749,-3.6057776634675798,0.03
74,-1.8860875841765374,-210.5936288567348,-3.6057776634675798,0.03
75,-0.4471961001348077,-45.754037243592656,-3.6057776634675798,0.03
76,0.48949022766955963,40.626271086212306,-3.6057776634675798,0.03
77,1.3859770726019536,160.30785812768127,-3.6057776634675798,0.03
78,-1.2558659578321647,-110.93355061011388,-3.6057776634675798,0.03
79,0.558821025773304,86.90474072119673,-3.6057776634675798,0.03
80,1.7199334463989817,186.49819363588466,-3.6057776634675798,0.03
81,1.7834107063864792,166.57437896161503,-3.6057776634675798,0.03
82,-0.9332898575888544,-89.1244155881855,-3.6057776634675798,0.03
83,-0.2791655893399642,-27.933407794529785,-3.6057776634675798,0.03
84,1.136570103900972,94.68937348272684,-3.6057776634675798,0.03
85,0.5775118411790936,68.23115062718264,-3.6057776634675798,0.03
86,-1.266747061411361,-112.58997965383993,-3.6057776634675798,0.03
87,-3.8755510752513933,-267.8148809106071,-3.6057776634675798,0.03
88,2.4352330159271087,196.71645330560324,-3.6057776634675798,0.03
89,0.3821646756496132,27.03133646620133,-3.6057776634675798,0.03
90,-1.0870812425509317,-131.8916580714508,-3.6057776634675798,0.03
